dataset_key	artifact_key	logical_key	source_kind	source_ref	origin	variation	nominal	tag	role	defname	campaign	beam	polarity
run1_fhc	beam-s0	beam	dir	beam/s0/out	overlay	nominal	-	beam	beam	numi_overlay_run1_fhc	run1_fhc_v08_00_00_82	numi	fhc
run1_fhc	beam-s1	beam	dir	beam/s1/out	overlay	nominal	-	beam	beam	numi_overlay_run1_fhc	run1_fhc_v08_00_00_82	numi	fhc
run1_fhc	beam-s2	beam	dir	beam/s2/out	overlay	nominal	-	beam	beam	numi_overlay_run1_fhc	run1_fhc_v08_00_00_82	numi	fhc
run1_fhc	beam-s3	beam	dir	beam/s3/out	overlay	nominal	-	beam	beam	numi_overlay_run1_fhc	run1_fhc_v08_00_00_82	numi	fhc
run1_fhc	dirt-s0	dirt	dir	dirt/s0/out	dirt	nominal	-	dirt	dirt	numi_dirt_run1_fhc	run1_fhc_v08_00_00_82	numi	fhc
run1_fhc	dirt-s1	dirt	dir	dirt/s1/out	dirt	nominal	-	dirt	dirt	numi_dirt_run1_fhc	run1_fhc_v08_00_00_82	numi	fhc
run1_fhc	ext-p0	ext	dir	ext/p0/out	external	nominal	-	ext	ext	numi_ext_run1_fhc	run1_fhc_v08_00_00_82	numi	fhc
run1_fhc	ext-p1	ext	dir	ext/p1/out	external	nominal	-	ext	ext	numi_ext_run1_fhc	run1_fhc_v08_00_00_82	numi	fhc
run1_fhc	ext-p2	ext	dir	ext/p2/out	external	nominal	-	ext	ext	numi_ext_run1_fhc	run1_fhc_v08_00_00_82	numi	fhc
run1_fhc	strangeness-run1-fhc	signal	dir	strangeness/run1_fhc/out	enriched	nominal	-	signal	signal	prod_strange_resample_fhc_run1_fhc_reco2_reco2_goodruns	run1_fhc_v08_00_00_82	numi	fhc
run1_fhc	beam-cv	beam-cv	samdef	nl_run1_fhc_detvar_cv_goodruns	overlay	detector	beam	cv	beam	nl_run1_fhc_detvar_cv_goodruns	run1_fhc_v08_00_00_82	numi	fhc
run1_fhc	beam-ly-supp75-att8m	beam-ly-supp75-att8m	samdef	nl_run1_fhc_detvar_ly_supp75_att8m_goodruns	overlay	detector	beam	ly_supp75_att8m	beam	nl_run1_fhc_detvar_ly_supp75_att8m_goodruns	run1_fhc_v08_00_00_82	numi	fhc
run1_fhc	beam-ly-rayleigh	beam-ly-rayleigh	samdef	nl_run1_fhc_detvar_ly_rayleigh_goodruns	overlay	detector	beam	ly_rayleigh	beam	nl_run1_fhc_detvar_ly_rayleigh_goodruns	run1_fhc_v08_00_00_82	numi	fhc
run1_fhc	beam-ly-down	beam-ly-down	samdef	nl_run1_fhc_detvar_ly_down_goodruns	overlay	detector	beam	ly_down	beam	nl_run1_fhc_detvar_ly_down_goodruns	run1_fhc_v08_00_00_82	numi	fhc
run1_fhc	beam-sce	beam-sce	samdef	nl_run1_fhc_detvar_sce_goodruns	overlay	detector	beam	sce	beam	nl_run1_fhc_detvar_sce_goodruns	run1_fhc_v08_00_00_82	numi	fhc
